Year,Month,Caernarfon,Humberside,Inverness,Lee_On_Solent,Lydd,Newquay,Portland,Prestwick,St_Athan,Stornoway,Sumburgh,Total
2016,January,16,13,30,9,8,17,1,31,16,9,10,160
2016,February,24,13,27,14,9,18,6,28,12,5,7,163
2016,March,22,16,22,10,19,22,12,34,16,4,8,185
2016,Jan to Mar total,62,42,79,33,36,57,19,93,44,18,25,508
2016,April,24,24,20,9,11,23,4,34,20,12,12,193
2016,May,36,27,33,15,25,32,14,28,24,9,6,249
2016,June,24,20,32,23,28,34,15,31,24,22,16,269
2016,Apr to Jun total,84,71,85,47,64,89,33,93,68,43,34,711
2016,July,50,27,31,24,27,24,18,34,32,9,14,290
2016,August,60,32,39,28,29,46,14,47,41,20,16,372
2016,September,32,18,18,14,23,29,9,24,14,12,9,202
2016,Jul to Sep total,142,77,88,66,79,99,41,105,87,41,39,864
2016,October,35,28,24,14,13,23,10,25,16,10,6,204
2016,November,19,22,5,16,12,22,8,22,13,2,11,152
2016,December,18,21,15,17,16,19,5,25,15,4,7,162
2016,Oct to Dec total,72,71,44,47,41,64,23,72,44,16,24,518
2017,January,11,23,14,17,12,16,8,23,18,8,5,155
2017,February,13,16,21,12,11,18,7,21,15,4,13,151
2017,March,22,24,17,19,14,23,11,28,14,11,12,195
2017,Jan to Mar total,46,63,52,48,37,57,26,72,47,23,30,501
2017,April,25,22,14,12,8,21,11,22,28,13,7,183
2017,May,34,18,18,8,17,28,8,30,23,18,14,216
2017,June,27,17,26,30,24,42,12,27,24,15,9,253
2017,Apr to Jun total,86,57,58,50,49,91,31,79,75,46,30,652
2017,July,35,24,30,37,26,55,[x],45,30,20,10,312
2017,August,36,27,21,36,23,44,[x],41,54,24,7,313
2017,September,21,20,27,32,12,35,[x],39,34,8,7,235
2017,Jul to Sep total,92,71,78,105,61,134,[x],125,118,52,24,860
2017,October,18,22,20,20,14,35,[x],32,21,12,6,200
2017,November,13,17,14,21,19,14,[x],20,20,6,10,154
2017,December,25,15,11,27,11,13,[x],23,24,4,16,169
2017,Oct to Dec total,56,54,45,68,44,62,[x],75,65,22,32,523
2018,January,16,15,24,19,10,19,[x],31,14,7,15,170
2018,February,31,25,37,19,11,22,[x],23,23,11,18,220
2018,March,22,24,29,25,14,31,[x],28,16,7,15,211
2018,Jan to Mar total,69,64,90,63,35,72,[x],82,53,25,48,601
2018,April,21,19,19,28,11,30,[x],30,15,13,22,208
2018,May,34,24,35,24,18,41,[x],28,26,19,10,259
2018,June,25,18,30,22,18,33,[x],23,24,14,9,216
2018,Apr to Jun total,80,61,84,74,47,104,[x],81,65,46,41,683
2018,July,38,28,34,39,26,36,[x],51,33,16,10,311
2018,August,36,31,24,26,30,47,[x],30,26,15,11,276
2018,September,36,10,25,24,22,28,[x],27,13,10,16,211
2018,Jul to Sep total,110,69,83,89,78,111,[x],108,72,41,37,798
2018,October,20,17,11,33,20,20,[x],23,28,12,15,199
2018,November,15,26,15,16,20,25,[x],23,13,1,7,161
2018,December,16,16,15,26,17,17,[x],19,13,6,10,155
2018,Oct to Dec total,51,59,41,75,57,62,[x],65,54,19,32,515
2019,January,10,17,18,20,10,25,[x],18,9,8,11,146
2019,February,18,6,13,21,10,17,[x],21,16,8,10,140
2019,March,22,10,15,17,12,22,[x],25,12,9,12,156
2019,Jan to Mar total,50,33,46,58,32,64,[x],64,37,25,33,442
2019,April,22,24,34,24,10,38,[x],32,22,17,10,233
