,Year,Quarter,Type_of_tasking,Caernarfon,Humberside,Inverness,Lee_On_Solent,Lydd,Newquay,Portland,Prestwick,St_Athan,Stornoway,Sumburgh,Total
0,2016,Jan to Mar,Aborted/Not Required,15,7,9,5,8,10,4,15,7,0,4,84
1,2016,Jan to Mar,Pre-arranged Transfer,4,0,5,21,0,10,0,31,2,7,3,83
2,2016,Jan to Mar,Rescue/Recovery,31,22,39,3,11,29,5,32,20,7,16,215
3,2016,Jan to Mar,Search Only,4,11,17,3,17,6,10,14,10,3,0,95
4,2016,Jan to Mar,Support,8,2,9,1,0,2,0,1,5,1,2,31
5,2016,Jan to Mar,Total,62,42,79,33,36,57,19,93,44,18,25,508
6,2016,Apr to Jun [note 2],Pre-arranged Transfer,3,2,2,17,0,30,0,15,2,3,1,75
7,2016,Apr to Jun [note 2],Rescue/Recovery,60,51,61,21,32,47,24,59,46,29,30,460
8,2016,Apr to Jun [note 2],Search Only,15,14,20,9,22,5,8,17,16,8,3,137
9,2016,Apr to Jun [note 2],Support,6,4,2,0,10,7,1,2,4,3,0,39
10,2016,Apr to Jun [note 2],Total,84,71,85,47,64,89,33,93,68,43,34,711
11,2016,Jul to Sep,Pre-arranged Transfer,8,3,2,18,3,34,0,13,5,2,1,89
12,2016,Jul to Sep,Rescue/Recovery,101,49,68,27,39,52,33,65,59,33,34,560
13,2016,Jul to Sep,Search Only,21,20,13,18,29,8,7,15,17,5,4,157
14,2016,Jul to Sep,Support,12,5,5,3,8,5,1,12,6,1,0,58
15,2016,Jul to Sep,Total,142,77,88,66,79,99,41,105,87,41,39,864
16,2016,Oct to Dec,Pre-arranged Transfer,6,2,5,15,3,18,1,14,2,1,2,69
17,2016,Oct to Dec,Rescue/Recovery,50,37,28,14,13,35,14,34,27,10,20,282
18,2016,Oct to Dec,Search Only,10,26,10,16,20,7,6,18,13,5,1,132
19,2016,Oct to Dec,Support,6,6,1,2,5,4,2,6,2,0,1,35
20,2016,Oct to Dec,Total,72,71,44,47,41,64,23,72,44,16,24,518
21,2017,Jan to Mar,Pre-arranged Transfer,1,1,5,27,1,11,6,20,1,3,0,76
22,2017,Jan to Mar,Rescue/Recovery,24,34,30,8,14,36,10,29,18,11,26,240
23,2017,Jan to Mar,Search Only,11,24,14,10,15,7,8,18,23,4,0,134
24,2017,Jan to Mar,Support,10,4,3,3,7,3,2,5,5,5,4,51
25,2017,Jan to Mar,Total,46,63,52,48,37,57,26,72,47,23,30,501
26,2017,Apr to Jun,Pre-arranged Transfer,4,2,1,17,4,23,2,12,3,1,1,70
27,2017,Apr to Jun,Rescue/Recovery,55,25,37,16,22,49,20,40,47,38,25,374
28,2017,Apr to Jun,Search Only,13,25,10,10,13,11,5,11,17,4,3,122
29,2017,Apr to Jun,Support,14,5,10,7,10,8,4,16,8,3,1,86
30,2017,Apr to Jun,Total,86,57,58,50,49,91,31,79,75,46,30,652
31,2017,Jul to Sep,Pre-arranged Transfer,0,2,4,25,1,20,[x],13,4,1,1,71
32,2017,Jul to Sep,Rescue/Recovery,61,32,52,38,18,75,[x],64,68,30,21,459
33,2017,Jul to Sep,Search Only,9,19,14,25,21,24,[x],24,19,12,2,169
34,2017,Jul to Sep,Support,22,18,8,17,21,15,[x],24,27,9,0,161
35,2017,Jul to Sep,Total,92,71,78,105,61,134,[x],125,118,52,24,860
36,2017,Oct to Dec,Pre-arranged Transfer,4,0,3,31,1,10,[x],31,3,3,1,87
37,2017,Oct to Dec,Rescue/Recovery,37,23,28,13,15,33,[x],25,25,14,26,239
38,2017,Oct to Dec,Search Only,9,23,8,18,20,11,[x],11,26,3,2,131
39,2017,Oct to Dec,Support,6,8,6,6,8,8,[x],8,11,2,3,66
40,2017,Oct to Dec,Total,56,54,45,68,44,62,[x],75,65,22,32,523
41,2018,Jan to Mar,Pre-arranged Transfer,2,1,1,35,0,17,[x],15,2,3,2,78
42,2018,Jan to Mar,Rescue/Recovery,50,32,51,11,16,45,[x],40,31,14,41,331
43,2018,Jan to Mar,Search Only,5,22,17,12,14,3,[x],13,8,3,1,98
44,2018,Jan to Mar,Support,12,9,21,5,5,7,[x],14,12,5,4,94
45,2018,Jan to Mar,Total,69,64,90,63,35,72,[x],82,53,25,48,601
46,2018,Apr to Jun,Pre-arranged Transfer,0,1,6,27,3,21,[x],10,1,3,4,76
47,2018,Apr to Jun,Rescue/Recovery,57,39,52,23,19,59,[x],42,42,33,33,399
48,2018,Apr to Jun,Search Only,10,14,15,8,12,9,[x],13,11,4,2,98
49,2018,Apr to Jun,Support,13,7,11,16,13,15,[x],16,11,6,2,110
50,2018,Apr to Jun,Total,80,61,84,74,47,104,[x],81,65,46,41,683
51,2018,Jul to Sep,Pre-arranged Transfer,3,1,2,22,5,31,[x],15,3,2,3,87
52,2018,Jul to Sep,Rescue/Recovery,65,33,49,21,16,58,[x],55,38,28,31,394
53,2018,Jul to Sep,Search Only,18,20,14,24,29,6,[x],20,14,7,3,155
54,2018,Jul to Sep,Support,24,15,18,22,28,16,[x],18,17,4,0,162
55,2018,Jul to Sep,Total,110,69,83,89,78,111,[x],108,72,41,37,798
56,2018,Oct to Dec,Pre-arranged Transfer,0,1,1,35,3,24,[x],26,3,2,2,97
57,2018,Oct to Dec,Rescue/Recovery,37,32,20,15,13,24,[x],20,23,12,25,221
58,2018,Oct to Dec,Search Only,8,15,11,12,26,6,[x],9,18,4,1,110
59,2018,Oct to Dec,Support,6,11,9,13,15,8,[x],10,10,1,4,87
60,2018,Oct to Dec,Total,51,59,41,75,57,62,[x],65,54,19,32,515
61,2019,Jan to Mar,Pre-arranged Transfer,3,0,4,27,1,23,[x],14,5,3,1,81
62,2019,Jan to Mar,Rescue/Recovery,18,18,26,16,11,24,[x],21,16,13,30,193
63,2019,Jan to Mar,Search Only,15,6,10,8,13,12,[x],12,5,7,1,89
64,2019,Jan to Mar,Support,14,9,6,7,7,5,[x],17,11,2,1,79
65,2019,Jan to Mar,Total,50,33,46,58,32,64,[x],64,37,25,33,442
66,2019,Apr to Jun,Pre-arranged Transfer,2,0,3,24,0,24,[x],15,2,2,1,73
67,2019,Apr to Jun,Rescue/Recovery,50,37,52,17,13,51,[x],35,36,28,38,357
68,2019,Apr to Jun,Search Only,4,11,15,8,18,10,[x],17,11,8,1,103
69,2019,Apr to Jun,Support,16,9,7,8,15,14,[x],16,21,7,6,119
70,2019,Apr to Jun,Total,72,57,77,57,46,99,[x],83,70,45,46,652
71,2019,Jul to Sep,Pre-arranged Transfer,3,0,1,25,3,22,[x],15,2,6,3,80
72,2019,Jul to Sep,Rescue/Recovery,71,39,55,20,28,51,[x],53,45,29,39,430
73,2019,Jul to Sep,Search Only,7,6,14,10,21,14,[x],18,22,6,3,121
74,2019,Jul to Sep,Support,19,16,13,11,18,11,[x],23,14,8,0,133
75,2019,Jul to Sep,Total,100,61,83,66,70,98,[x],109,83,49,45,764
76,2019,Oct to Dec,Pre-arranged Transfer,1,1,5,43,4,16,[x],29,2,4,2,107
77,2019,Oct to Dec,Rescue/Recovery,33,14,27,9,16,38,[x],25,20,10,68,260
78,2019,Oct to Dec,Search Only,11,14,14,8,19,5,[x],11,11,3,1,97
79,2019,Oct to Dec,Support,3,7,4,0,2,4,[x],7,13,2,1,43
80,2019,Oct to Dec,Total,48,36,50,60,41,63,[x],72,46,19,72,507
81,2020,Jan to Mar,Pre-arranged Transfer,0,1,2,36,1,9,[x],17,4,11,6,87
82,2020,Jan to Mar,Rescue/Recovery,24,12,28,10,19,19,[x],34,23,8,25,202
83,2020,Jan to Mar,Search Only,9,7,18,12,16,9,[x],14,10,4,0,99
84,2020,Jan to Mar,Support,8,6,15,3,11,1,[x],9,10,4,2,69
85,2020,Jan to Mar,Total,41,26,63,61,47,38,[x],74,47,27,33,457
86,2020,Apr to Jun [note 3],Pre-arranged Transfer,1,0,3,14,1,11,[x],13,1,5,0,49
87,2020,Apr to Jun [note 3],Rescue/Recovery,16,18,9,29,22,30,[x],17,16,7,14,178
88,2020,Apr to Jun [note 3],Search Only,2,8,0,19,25,7,[x],13,10,2,0,86
89,2020,Apr to Jun [note 3],Support,8,14,10,10,26,21,[x],14,16,4,3,126
90,2020,Apr to Jun [note 3],Total,27,40,22,72,74,69,[x],57,43,18,17,439
91,2020,Jul to Sep,Pre-arranged Transfer,4,1,4,17,2,18,[x],25,1,12,2,86
92,2020,Jul to Sep,Rescue/Recovery,77,49,65,36,18,38,[x],77,47,26,30,463
93,2020,Jul to Sep,Search Only,9,7,11,13,21,8,[x],16,16,12,0,113
94,2020,Jul to Sep,Support,30,11,19,27,33,23,[x],25,35,10,8,221
95,2020,Jul to Sep,Total,120,68,99,93,74,87,[x],143,99,60,40,883
96,2020,Oct to Dec,Pre-arranged Transfer,1,0,5,24,1,16,[x],16,4,10,3,80
97,2020,Oct to Dec,Rescue/Recovery,18,20,25,13,11,20,[x],28,21,14,25,195
98,2020,Oct to Dec,Search Only,10,10,7,5,17,8,[x],11,5,2,0,75
99,2020,Oct to Dec,Support,9,8,11,8,9,9,[x],15,12,2,2,85
100,2020,Oct to Dec,Total,38,38,48,50,38,53,[x],70,42,28,30,435
101,2021,Jan to Mar,Pre-arranged Transfer,5,1,4,21,4,9,[x],30,4,16,4,98
102,2021,Jan to Mar,Rescue/Recovery,16,12,11,3,13,20,[x],29,15,12,35,166
103,2021,Jan to Mar,Search Only,6,9,9,8,8,8,[x],12,9,2,0,71
104,2021,Jan to Mar,Support,6,10,14,5,9,9,[x],9,19,3,2,86
105,2021,Jan to Mar,Total,33,32,38,37,34,46,[x],80,47,33,41,421
106,2021,Apr to Jun,Pre-arranged Transfer,3,0,3,20,1,14,[x],7,5,5,2,60
107,2021,Apr to Jun,Rescue/Recovery,45,28,45,21,15,34,[x],59,48,26,41,362
108,2021,Apr to Jun,Search Only,11,5,21,7,20,8,[x],12,6,5,2,97
109,2021,Apr to Jun,Support,20,7,17,19,18,13,[x],26,19,3,4,146
110,2021,Apr to Jun,Total,79,40,86,67,54,69,[x],104,78,39,49,665
111,2021,Jul to Sep,Pre-arranged Transfer,1,0,6,16,1,19,[x],37,1,11,5,97
112,2021,Jul to Sep,Rescue/Recovery,88,40,87,34,22,65,[x],66,49,31,42,524
113,2021,Jul to Sep,Search Only,19,10,18,21,40,7,[x],27,8,6,4,160
114,2021,Jul to Sep,Support,33,11,24,18,35,13,[x],34,21,7,1,197
115,2021,Jul to Sep,Total,141,61,135,89,98,104,[x],164,79,55,52,978
116,2021,Oct to Dec,Pre-arranged Transfer,3,0,6,27,1,21,[x],43,3,13,2,119
117,2021,Oct to Dec,Rescue/Recovery,29,26,31,14,11,34,[x],32,15,16,29,237
118,2021,Oct to Dec,Search Only,14,18,16,12,37,4,[x],18,7,0,0,126
119,2021,Oct to Dec,Support,11,7,8,7,11,5,[x],10,14,2,4,79
120,2021,Oct to Dec,Total,57,51,61,60,60,64,[x],103,39,31,35,561
121,2022,Jan to Mar,Pre-arranged Transfer,2,0,7,11,0,19,[x],26,0,10,5,80
122,2022,Jan to Mar,Rescue/Recovery,35,24,50,18,8,30,[x],39,35,17,28,284
123,2022,Jan to Mar,Search Only,12,12,14,8,17,4,[x],5,2,5,0,79
124,2022,Jan to Mar,Support,11,8,13,7,15,4,[x],22,17,2,1,100
125,2022,Jan to Mar,Total,60,44,84,44,40,57,[x],92,54,34,34,543
126,2022,Apr to Jun,Pre-arranged Transfer,1,0,8,14,1,22,[x],18,0,8,3,75
127,2022,Apr to Jun,Rescue/Recovery,52,33,59,22,14,38,[x],53,41,33,53,398
128,2022,Apr to Jun,Search Only,11,4,10,9,19,10,[x],18,10,10,2,103
129,2022,Apr to Jun,Support,25,5,22,19,29,16,[x],23,20,13,5,177
130,2022,Apr to Jun,Total,89,42,99,64,63,86,[x],112,71,64,63,753
131,2022,Jul to Sep,Pre-arranged Transfer,2,1,10,16,0,12,[x],13,0,7,7,68
132,2022,Jul to Sep,Rescue/Recovery,81,39,55,19,25,38,[x],63,44,28,42,434
133,2022,Jul to Sep,Search Only,12,10,6,14,28,12,[x],14,10,8,2,116
134,2022,Jul to Sep,Support,33,19,25,26,30,15,[x],35,29,12,3,227
135,2022,Jul to Sep,Total,128,69,96,75,83,77,[x],125,83,55,54,845
136,2022,Oct to Dec,Pre-arranged Transfer,4,0,11,9,1,12,[x],21,1,9,9,77
137,2022,Oct to Dec,Rescue/Recovery,24,33,27,9,12,25,[x],28,17,21,43,239
138,2022,Oct to Dec,Search Only,17,7,7,10,32,6,[x],14,13,7,5,118
139,2022,Oct to Dec,Support,17,4,10,14,11,4,[x],11,9,5,3,88
140,2022,Oct to Dec,Total,62,44,55,42,56,47,[x],74,40,42,60,522
141,2023,Jan to Mar,Pre-arranged Transfer,2,0,6,9,1,9,[x],16,1,8,10,62
142,2023,Jan to Mar,Rescue/Recovery,39,21,29,10,6,18,[x],42,18,18,44,245
143,2023,Jan to Mar,Search Only,6,8,15,4,12,4,[x],16,5,3,2,75
144,2023,Jan to Mar,Support,11,0,12,10,12,8,[x],11,8,2,4,78
145,2023,Jan to Mar,Total,58,29,62,33,31,39,[x],85,32,31,60,460
