,Year,Quarter,Published_tasking_outcome _note1,Pre_arranged_Transfer,Rescue_or_Recovery,Search_Only,Support,Total
0,2016,Apr to Jun,Aborted,2,3,0,1,6
1,2016,Apr to Jun,Complete,70,339,8,29,446
2,2016,Apr to Jun,Complete (Nothing found),0,0,65,0,65
3,2016,Apr to Jun,False Alarm/Hoax,0,0,4,0,4
4,2016,Apr to Jun,Retasked,1,6,3,2,12
5,2016,Apr to Jun,Stood Down,2,112,57,7,178
6,2016,Apr to Jun,Total,75,460,137,39,711
7,2016,Jul to Sep,Aborted,1,7,5,0,13
8,2016,Jul to Sep,Complete,86,406,22,48,562
9,2016,Jul to Sep,Complete (Nothing found),0,0,51,0,51
10,2016,Jul to Sep,False Alarm/Hoax,0,2,4,1,7
11,2016,Jul to Sep,Retasked,0,8,6,1,15
12,2016,Jul to Sep,Stood Down,2,137,69,8,216
13,2016,Jul to Sep,Total,89,560,157,58,864
14,2016,Oct to Dec,Aborted,0,2,1,1,4
15,2016,Oct to Dec,Complete,66,214,12,24,316
16,2016,Oct to Dec,Complete (Nothing found),0,1,51,0,52
17,2016,Oct to Dec,False Alarm/Hoax,0,1,2,0,3
18,2016,Oct to Dec,Retasked,0,4,6,2,12
19,2016,Oct to Dec,Stood Down,3,60,60,8,131
20,2016,Oct to Dec,Total,69,282,132,35,518
21,2017,Jan to Mar,Aborted,0,7,6,2,15
22,2017,Jan to Mar,Complete,73,190,3,22,288
23,2017,Jan to Mar,Complete (Nothing found),0,0,44,0,44
24,2017,Jan to Mar,False Alarm/Hoax,0,0,1,0,1
25,2017,Jan to Mar,Retasked,0,1,1,0,2
26,2017,Jan to Mar,Stood Down,3,42,79,27,151
27,2017,Jan to Mar,Total,76,240,134,51,501
28,2017,Apr to Jun,Completed,62,302,63,35,462
29,2017,Apr to Jun,Other,0,6,7,6,19
30,2017,Apr to Jun,Terminated,8,66,52,45,171
31,2017,Apr to Jun,Total,70,374,122,86,652
32,2017,Jul to Sep,Completed,70,407,120,51,648
33,2017,Jul to Sep,Other,0,0,6,6,12
34,2017,Jul to Sep,Terminated,1,52,43,104,200
35,2017,Jul to Sep,Total,71,459,169,161,860
36,2017,Oct to Dec,Completed,83,216,89,23,411
37,2017,Oct to Dec,Other,1,2,6,5,14
38,2017,Oct to Dec,Terminated,3,21,36,38,98
39,2017,Oct to Dec,Total,87,239,131,66,523
40,2018,Jan to Mar,Completed,69,292,64,30,455
41,2018,Jan to Mar,Other,4,5,7,11,27
