,Date,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Tasking_outcome,Region,Latitude,Longitude,Time_of_day,Duration
0,01/04/2015,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.47,1.53,6.00pm - 8.59pm,2
1,01/04/2015,Wednesday,Sumburgh,Rescue/Recovery,Land,Completed,Highlands and Islands,59.25,-2.58,6.00am - 8.59am,2
2,01/04/2015,Wednesday,Inverness,Support,Land,Completed,Highlands and Islands,56.79,-4.99,9.00am - 11.59am,3
3,01/04/2015,Wednesday,Inverness,Support,Land,Completed,Highlands and Islands,56.79,-5.06,12.00pm - 2.59pm,4
4,02/04/2015,Thursday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.81,-5.02,6.00pm - 8.59pm,1
5,02/04/2015,Thursday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.37,1.58,6.00am - 8.59am,2
6,02/04/2015,Thursday,Lee On Solent,Search only,Coast,Completed,South East,51.1,1.27,12.00pm - 2.59pm,3
7,02/04/2015,Thursday,Lee On Solent,Aborted/Not Required,Land,Aborted,South East,50.68,-1.28,6.00pm - 8.59pm,0
8,03/04/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00pm - 2.59pm,1
9,03/04/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,3.00pm - 5.59pm,0
10,03/04/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,9.00pm - 11.59pm,1
11,04/04/2015,Saturday,Sumburgh,Rescue/Recovery,Land,Completed,Highlands and Islands,59.18,-2.77,3.00pm - 5.59pm,2
12,04/04/2015,Saturday,Stornoway,Pre-arranged transfer,Land,Completed,Highlands and Islands,57.47,-7.36,9.00pm - 11.59pm,4
13,04/04/2015,Saturday,Inverness,Search only,Land,Completed,Highlands and Islands,56.49,-5.04,12.00pm - 2.59pm,2
14,04/04/2015,Saturday,Inverness,Rescue/Recovery,Land,Completed,Eastern Scotland,56.24,-4.24,6.00pm - 8.59pm,2
