Year,Quarter,Rescued_or_Assisted,Caernarfon,Humberside,Inverness,Lee_On_Solent,Lydd,Newquay,Portland,Prestwick,St_Athan,Stornoway,Sumburgh,Total
2017,Jan to Mar,Persons Assisted,0,0,0,0,0,0,0,0,0,0,0,0
2017,Jan to Mar,Persons Rescued,1,0,0,2,0,0,1,1,1,0,0,6
2017,Apr to Jun,Persons Assisted,8,3,77,12,7,7,3,3,5,11,1,137
2017,Apr to Jun,Persons Rescued,47,22,43,25,9,67,19,39,40,38,100,449
2017,Jul to Sep,Persons Assisted,3,4,3,13,8,6,[x],4,12,9,0,62
2017,Jul to Sep,Persons Rescued,59,30,71,71,13,91,[x],73,67,28,21,524
2017,Oct to Dec,Persons Assisted,4,2,1,1,5,5,[x],13,5,0,64,100
2017,Oct to Dec,Persons Rescued,49,22,39,43,10,38,[x],53,25,19,28,326
2018,Jan to Mar,Persons Assisted,7,0,1,1,12,6,[x],0,1,2,0,30
2018,Jan to Mar,Persons Rescued,52,43,49,41,10,62,[x],48,25,16,42,388
2018,Apr to Jun,Persons Assisted,2,1,2,6,10,2,[x],5,5,3,2,38
2018,Apr to Jun,Persons Rescued,57,33,60,46,12,82,[x],58,40,34,39,461
2018,Jul to Sep,Persons Assisted,6,7,9,9,14,6,[x],18,9,3,0,81
2018,Jul to Sep,Persons Rescued,74,29,53,38,17,94,[x],71,41,31,34,482
2018,Oct to Dec,Persons Assisted,2,2,2,2,23,2,[x],5,1,0,1,40
2018,Oct to Dec,Persons Rescued,46,38,20,47,18,51,[x],42,23,17,75,377
2019,Jan to Mar,Persons Assisted,2,3,1,3,2,1,[x],5,4,2,0,23
2019,Jan to Mar,Persons Rescued,17,22,34,42,8,55,[x],37,26,15,30,286
2019,Apr to Jun,Persons Assisted,7,1,11,5,6,9,[x],10,8,4,2,63
2019,Apr to Jun,Persons Rescued,56,30,58,42,10,77,[x],46,35,28,38,420
2019,Jul to Sep,Persons Assisted,17,3,3,3,29,5,[x],8,5,5,0,78
2019,Jul to Sep,Persons Rescued,77,36,64,40,21,70,[x],62,39,32,55,496
2019,Oct to Dec,Persons Assisted,1,1,1,10,0,2,[x],3,5,1,0,24
2019,Oct to Dec,Persons Rescued,29,11,36,47,11,49,[x],52,18,13,105,371
2020,Jan to Mar,Persons Assisted,2,2,3,2,4,1,[x],1,3,3,0,21
2020,Jan to Mar,Persons Rescued,25,11,36,38,16,30,[x],39,24,20,29,268
2020,Apr to Jun,Persons Assisted,3,5,0,0,23,2,[x],2,2,1,5,43
2020,Apr to Jun,Persons Rescued,11,18,10,33,13,38,[x],22,10,13,14,182
2020,Jul to Sep,Persons Assisted,14,4,1,10,61,9,[x],8,15,3,1,126
2020,Jul to Sep,Persons Rescued,79,55,69,42,12,54,[x],84,49,37,32,513
2020,Oct to Dec,Persons Assisted,2,1,2,2,17,3,[x],6,1,4,0,38
2020,Oct to Dec,Persons Rescued,19,15,27,36,8,39,[x],48,27,23,25,267
2021,Jan to Mar,Persons Assisted,0,2,6,1,2,9,[x],2,2,1,0,25
2021,Jan to Mar,Persons Rescued,22,12,14,21,11,27,[x],52,12,28,35,234
2021,Apr to Jun,Persons Assisted,6,2,5,8,7,10,[x],24,4,2,2,70
2021,Apr to Jun,Persons Rescued,53,26,50,34,14,47,[x],58,49,30,41,402
2021,Jul to Sep,Persons Assisted,20,2,2,4,97,5,[x],5,3,3,1,142
2021,Jul to Sep,Persons Rescued,91,42,87,42,11,80,[x],89,41,38,43,564
2021,Oct to Dec,Persons Assisted,5,1,2,53,70,3,[x],1,7,1,2,145
2021,Oct to Dec,Persons Rescued,27,22,32,35,9,58,[x],72,14,29,30,328
2022,Jan to Mar,Persons Assisted,2,2,8,0,5,2,[x],11,9,0,1,40
2022,Jan to Mar,Persons Rescued,32,22,40,19,6,54,[x],60,26,28,27,314
2022,Apr to Jun,Persons Assisted,9,0,9,0,83,4,[x],134,5,5,1,250
2022,Apr to Jun,Persons Rescued,43,35,60,25,11,59,[x],56,29,51,68,437
2022,Jul to Sep,Persons Assisted,10,6,16,6,11,10,[x],7,5,6,0,77
2022,Jul to Sep,Persons Rescued,72,32,64,30,20,47,[x],57,39,29,45,435
2022,Oct to Dec,Persons Assisted,8,0,1,34,127,0,[x],5,3,0,2,180
2022,Oct to Dec,Persons Rescued,23,28,42,13,16,37,[x],44,22,30,58,313
2023,Jan to Mar,Persons Assisted,1,0,5,3,3,0,[x],3,0,4,1,20
2023,Jan to Mar,Persons Rescued,33,20,56,13,3,24,[x],44,17,22,49,281
