,Cluster,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Region,Time_of_day,MonthYear,Tasking_complnotcompl
0,0,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,6:00pm - 8:59pm,04/2015,Yes
1,0,Wednesday,Sumburgh,Rescue/Recovery,Land,Highlands and Islands,6.00am - 8.59am,04/2015,Yes
2,0,Wednesday,Inverness,Support,Land,Highlands and Islands,9:00am - 11:59am,04/2015,Yes
3,0,Wednesday,Inverness,Support,Land,Highlands and Islands,12:00pm - 2:59pm,04/2015,Yes
4,0,Thursday,Inverness,Rescue/Recovery,Land,Highlands and Islands,6:00pm - 8:59pm,04/2015,Yes
5,0,Thursday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,6.00am - 8.59am,04/2015,Yes
6,0,Thursday,Lee On Solent,Search Only,Coast,South East,12:00pm - 2:59pm,04/2015,Yes
7,0,Thursday,Lee On Solent,Aborted/Not Required,Land,South East,6:00pm - 8:59pm,04/2015,No
8,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,12:00pm - 2:59pm,04/2015,Yes
9,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,3:00pm - 5:59pm,04/2015,Yes
10,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,9:00pm - 11:59pm,04/2015,Yes
11,0,Saturday,Sumburgh,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,04/2015,Yes
12,0,Saturday,Stornoway,Pre-arranged Transfer,Land,Highlands and Islands,9:00pm - 11:59pm,04/2015,Yes
13,0,Saturday,Inverness,Search Only,Land,Highlands and Islands,12:00pm - 2:59pm,04/2015,Yes
14,0,Saturday,Inverness,Rescue/Recovery,Land,Eastern Scotland,6:00pm - 8:59pm,04/2015,Yes
15,0,Saturday,Lee On Solent,Pre-arranged Transfer,Land,South East,12:00am - 2:59am,04/2015,Yes
16,0,Sunday,Sumburgh,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,04/2015,Yes
17,0,Monday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,3:00am - 5:59am,04/2015,Yes
18,0,Monday,Stornoway,Aborted/Not Required,Coast,Highlands and Islands,12:00pm - 2:59pm,04/2015,Yes
19,1,Monday,Stornoway,Rescue/Recovery,Coast,Highlands and Islands,3:00pm - 5:59pm,04/2015,Yes
20,0,Monday,Inverness,Rescue/Recovery,Land,Highlands and Islands,9:00am - 11:59am,04/2015,Yes
21,0,Monday,Inverness,Aborted/Not Required,Land,North Eastern Scotland,9:00am - 11:59am,04/2015,No
22,0,Monday,Portland,Rescue/Recovery,Land,South West,12:00pm - 2:59pm,04/2015,Yes
23,1,Monday,Portland,Aborted/Not Required,Coast,South West,3:00pm - 5:59pm,04/2015,Yes
24,0,Monday,Inverness,Aborted/Not Required,Land,Highlands and Islands,9:00pm - 11:59pm,04/2015,No
25,0,Tuesday,Inverness,Search Only,Land,Eastern Scotland,12:00pm - 2:59pm,04/2015,Yes
26,1,Tuesday,Inverness,Rescue/Recovery,Coast,Highlands and Islands,3:00pm - 5:59pm,04/2015,Yes
27,0,Tuesday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,9:00am - 11:59am,04/2015,Yes
28,0,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,3:00pm - 5:59pm,04/2015,Yes
29,0,Wednesday,Stornoway,Search Only,Coast,Highlands and Islands,12:00am - 2:59am,04/2015,Yes
30,0,Thursday,Stornoway,Aborted/Not Required,Coast,Highlands and Islands,3:00am - 5:59am,04/2015,No
